
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos| 1729647904396 |       9444 |        205 |       0.76
| nfvha-comp-07.oot.lab.eng.bos| 1729648654568 |       9445 |        206 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729649014651 |       9446 |        207 |       0.80
| nfvha-comp-07.oot.lab.eng.bos| 1729649754804 |       9447 |        208 |       0.86
| nfvha-comp-07.oot.lab.eng.bos| 1729650084973 |       9448 |        209 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729650264920 |       9449 |        210 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729650665304 |       9450 |        211 |       0.98
| nfvha-comp-07.oot.lab.eng.bos| 1729650905427 |       9451 |        212 |       0.94
| nfvha-comp-07.oot.lab.eng.bos| 1729651115332 |       9452 |        213 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729651485633 |       9453 |        214 |       0.89
| nfvha-comp-07.oot.lab.eng.bos| 1729652185685 |       9454 |        215 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729652845959 |       9455 |        216 |       0.93
| nfvha-comp-07.oot.lab.eng.bos| 1729653245907 |       9456 |        217 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729654226040 |       9457 |        218 |       0.77
| nfvha-comp-07.oot.lab.eng.bos| 1729655116141 |       9458 |        219 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729655666416 |       9459 |        220 |       0.89
| nfvha-comp-07.oot.lab.eng.bos| 1729655866502 |       9460 |        221 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729656676457 |       9461 |        222 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729657576610 |       9462 |        223 |       0.76
| nfvha-comp-07.oot.lab.eng.bos| 1729658516865 |       9463 |        224 |       0.89
| nfvha-comp-07.oot.lab.eng.bos| 1729658686772 |       9464 |        225 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729659187034 |       9465 |        226 |       0.79
| nfvha-comp-07.oot.lab.eng.bos| 1729659217199 |       9466 |        227 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729659537153 |       9467 |        228 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729660307431 |       9468 |        229 |       0.86
| nfvha-comp-07.oot.lab.eng.bos| 1729660717604 |       9469 |        230 |       0.92
| nfvha-comp-07.oot.lab.eng.bos| 1729661467668 |       9470 |        231 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729662017658 |       9471 |        232 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729662607660 |       9472 |        233 |       0.68
