|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-05.oot.lab.eng.bos.| 1124515107048 |        270 |         44 |       0.68
| nfvha-comp-03.oot.lab.eng.bos.| 1124515216547 |        271 |         33 |       0.87
| nfvha-comp-01.oot.lab.eng.bos.| 1124515276535 |        272 |         43 |       0.67
| nfvha-comp-03.oot.lab.eng.bos.| 1124515446611 |        273 |         34 |       0.81
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124515447839 |        274 |         42 |       1.87
| nfvha-comp-06.oot.lab.eng.bos.| 1124515517644 |        275 |         43 |       0.81
| nfvha-comp-02.oot.lab.eng.bos.| 1124515578954 |        276 |         43 |       0.90
| nfvha-comp-01.oot.lab.eng.bos.| 1124515726810 |        277 |         44 |       0.83
| nfvha-comp-05.oot.lab.eng.bos.| 1124515867266 |        278 |         45 |       0.76
| nfvha-comp-05.oot.lab.eng.bos.| 1124515937484 |        279 |         46 |       0.78
| nfvha-comp-01.oot.lab.eng.bos.| 1124516106884 |        280 |         45 |       0.79
| nfvha-comp-02.oot.lab.eng.bos.| 1124516179141 |        281 |         44 |       0.91
| nfvha-comp-03.oot.lab.eng.bos.| 1124516206854 |        282 |         35 |       0.91
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124516238101 |        283 |         43 |       1.99
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124516278289 |        284 |         44 |       2.05
| nfvha-comp-06.oot.lab.eng.bos.| 1124516497838 |        285 |         44 |       0.84
| nfvha-comp-02.oot.lab.eng.bos.| 1124516539114 |        286 |         45 |       0.73
| nfvha-comp-01.oot.lab.eng.bos.| 1124516657134 |        287 |         46 |       0.91
| nfvha-comp-02.oot.lab.eng.bos.| 1124516739464 |        288 |         46 |       0.93
| nfvha-comp-06.oot.lab.eng.bos.| 1124516748106 |        289 |         45 |       0.98
| nfvha-comp-05.oot.lab.eng.bos.| 1124516757600 |        290 |         47 |       0.76
| nfvha-comp-02.oot.lab.eng.bos.| 1124516789446 |        291 |         47 |       0.78
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124516798400 |        292 |         45 |       2.00
| nfvha-comp-02.oot.lab.eng.bos.| 1124516819649 |        293 |         48 |       0.85
| nfvha-comp-06.oot.lab.eng.bos.| 1124516898072 |        294 |         46 |       0.81
| nfvha-comp-05.oot.lab.eng.bos.| 1124516907634 |        295 |         48 |       0.68
