|       Time |     Offset |        Seq |    latency 
| 1074092034788 |        373 |        373 |       0.80
| 1074092194964 |        374 |        374 |       0.76
| 1074092464980 |        375 |        375 |       0.67
| 1074093105252 |        376 |        376 |       0.82
| 1074093865149 |        377 |        377 |       0.64
| 1074094765183 |        378 |        378 |       0.59
| 1074095675461 |        379 |        379 |       0.81
| 1074096675458 |        380 |        380 |       0.70
| 1074097455710 |        381 |        381 |       0.87
| 1074098025849 |        382 |        382 |       0.90
| 1074098835982 |        383 |        383 |       0.89
| 1074099725980 |        384 |        384 |       0.81
| 1074099876166 |        385 |        385 |       0.87
| 1074100126181 |        386 |        386 |       0.76
| 1074100146332 |        387 |        387 |       0.78
| 1074100186405 |        388 |        388 |       0.73
| 1074100856534 |        389 |        389 |       0.75
| 1074101176698 |        390 |        390 |       0.81
| 1074101646666 |        391 |        391 |       0.69
| 1074102266917 |        392 |        392 |       0.83
| 1074102516955 |        393 |        393 |       0.76
| 1074102547195 |        394 |        394 |       0.87
| 1074102597131 |        395 |        395 |       0.67
| 1074103587408 |        396 |        396 |       0.87
| 1074104497477 |        397 |        397 |       0.84
| 1074104827600 |        398 |        398 |       0.83
| 1074105827679 |        399 |        399 |       0.83
| 1074106377691 |        400 |        400 |       0.76
| 1074106557864 |        401 |        401 |       0.77
| 1074107187976 |        402 |        402 |       0.77
| 1074107358161 |        403 |        403 |       0.84
| 1074107898284 |        404 |        404 |       0.87
| 1074108688227 |        405 |        405 |       0.70
| 1074109478255 |        406 |        406 |       0.68
| 1074109998408 |        407 |        407 |       0.71
| 1074110548603 |        408 |        408 |       0.82
| 1074111238596 |        409 |        409 |       0.70
| 1074112018812 |        410 |        410 |       0.72
| 1074112909106 |        411 |        411 |       0.92
| 1074113718958 |        412 |        412 |       0.71
| 1074114059216 |        413 |        413 |       0.83
| 1074114119303 |        414 |        414 |       0.80
| 1074114809243 |        415 |        415 |       0.65
| 1074115289551 |        416 |        416 |       0.83
| 1074115589690 |        417 |        417 |       0.87
| 1074115649782 |        418 |        418 |       0.83
| 1074116169929 |        419 |        419 |       0.86
| 1074116480073 |        420 |        420 |       0.85
| 1074116860099 |        421 |        421 |       0.77
| 1074117850204 |        422 |        422 |       0.80
| 1074118780108 |        423 |        423 |       0.65
| 1074119400265 |        424 |        424 |       0.69
| 1074119760486 |        425 |        425 |       0.81
| 1074120080530 |        426 |        426 |       0.72
| 1074121030695 |        427 |        427 |       0.80
| 1074121650849 |        428 |        428 |       0.88
| 1074122290793 |        429 |        429 |       0.71
| 1074123240992 |        430 |        430 |       0.85
| 1074123401028 |        431 |        431 |       0.74
| 1074123571173 |        432 |        432 |       0.77
| 1074124151231 |        433 |        433 |       0.71
| 1074124841207 |        434 |        434 |       0.57
| 1074124891632 |        435 |        435 |       0.88
| 1074125611498 |        436 |        436 |       0.67
| 1074126081818 |        437 |        437 |       0.85
| 1074126651793 |        438 |        438 |       0.74
| 1074127261848 |        439 |        439 |       0.69
| 1074127771960 |        440 |        440 |       0.71
| 1074128112228 |        441 |        441 |       0.82
| 1074128612322 |        442 |        442 |       0.81
| 1074128922428 |        443 |        443 |       0.81
| 1074128952454 |        444 |        444 |       0.70
| 1074129502723 |        445 |        445 |       0.86
| 1074129852611 |        446 |        446 |       0.64
| 1074130713245 |        447 |        447 |       1.06
| 1074130903155 |        448 |        448 |       0.82
| 1074131313292 |        449 |        449 |       0.87
| 1074131693335 |        450 |        450 |       0.81
| 1074132543260 |        451 |        451 |       0.62
| 1074133323416 |        452 |        452 |       0.70
| 1074134033574 |        453 |        453 |       0.75
| 1074134163803 |        454 |        454 |       0.86
| 1074134913924 |        455 |        455 |       0.85
| 1074135334109 |        456 |        456 |       0.92
| 1074135784084 |        457 |        457 |       0.83
| 1074136484098 |        458 |        458 |       0.77
| 1074136514164 |        459 |        459 |       0.74
| 1074136604321 |        460 |        460 |       0.81
| 1074137604459 |        461 |        461 |       0.87
| 1074138154423 |        462 |        462 |       0.74
| 1074138754566 |        463 |        463 |       0.78
| 1074139324548 |        464 |        464 |       0.69
| 1074139554832 |        465 |        465 |       0.87
| 1074140204849 |        466 |        466 |       0.73
| 1074140835044 |        467 |        467 |       0.84
| 1074140885051 |        468 |        468 |       0.70
| 1074141455106 |        469 |        469 |       0.64
| 1074141685228 |        470 |        470 |       0.68
| 1074142585495 |        471 |        471 |       0.79
| 1074142845808 |        472 |        472 |       0.97
| 1074143575650 |        473 |        473 |       0.74
| 1074143785773 |        474 |        474 |       0.73
| 1074144075879 |        475 |        475 |       0.70
| 1074144696101 |        476 |        476 |       0.85
| 1074145246105 |        477 |        477 |       0.75
| 1074145396177 |        478 |        478 |       0.73
| 1074145566349 |        479 |        479 |       0.79
| 1074146526198 |        480 |        480 |       0.56
